,id,title,description,published,length,view_count,like_count,comment_count,reactions,day_of_week,hour,month,year,Channel
0,qZ7zf13sSWY,"Kể chuyện năm vừa rồi: có bầu, đi sinh em bé, kế hoạch sắp tới?","2021 của mình đã diễn ra như thế này, hôm nay ngồi xuống tâm sự với mọi người sau thời gian dài mình mất tích nhé. 

♥ Channel mới của gia đình mình: https://bit.ly/hichumchum-yt

♥ Instagram nhà Chum: https://instagram.com/hi.chumchum",2022-03-02 13:40:00+00:00,23.33,307663,23220,1070,24290,Wednesday,13,3,2022,Changmakeup
1,2ROezZUbscQ,BỘ SƯU TẬP OFÉLIA GLACIER VELVET TINT,"Glacier Velvet Tint Collection được lấy cảm hứng từ sắc màu thu hút của sông băng, 2 tông màu xanh và tím. Cùng Chang tìm hiểu 6 tông màu đặc biệt của Bộ Sưu Tập này nhé! 

♥ Mermaid Wish 
♥ Icy Love
♥ Stunnin’
♥ After Party
♥ Real Me
♥ Say So

Ngày mở bán chính thức: 19H00 • 23/10/2020 • https://ofelia.vn
Pre-order: https://ofelia.vn

Tò mò về Minh? Instagram em ấy là instagram.com/nguyenew nhá

∞ MUSIC USED ∞
Artlist
Musicbed
EpidemicSound",2020-10-19 15:09:56+00:00,11.52,549817,25420,872,26292,Monday,15,10,2020,Changmakeup
2,a3YVSU0iR2I,[SWATCH + REVIEW] SHU UEMURA LIPSTICK - 10 MÀU SON LÌ ĐẸP,"∞ PRODUCTS MENTIONED ∞

Chương trình ưu đãi sẽ bắt đầu lúc 0h ngày 4/7/2020, bạn đã nhắm màu nào thì nhớ bỏ vô giỏ hàng rồi 0h checkout để không bỏ lỡ các ưu đãi nhé!

♥ Amplified matte Lipstick - RD163
https://lzd.co/2D4w5nL

♥ Amplified matte lipstick – OR586
https://lzd.co/2VumLj9

♥  Amplified matte lipstick – BR784 
https://lzd.co/3g94JuU

♥ Matte lipstick – RD163 
https://lzd.co/3dOj6mQ

♥ Matte lipstick – OR580
https://lzd.co/3gq5ZcS

♥ Matte lipstick – OR582
https://lzd.co/2AgbrzS

♥ Matte lipstick – OR585
 https://lzd.co/3ghfv22

♥ Matte lipstick – OR587 
https://lzd.co/3eTQedS 

♥ Matte lipstick – BR785 
https://lzd.co/2ZhKSTj 

♥ Matte lipstick – BR782 
https://lzd.co/2NEwqiM 

♥ Matte lipstick – BG955 
https://lzd.co/31D0Fiz


ƯU ĐÃI 1: 
Khi mua bất kỳ dòng son Amplified Shu Uemura trị giá 790k sẽ nhận quà tổng giá trị: 550k bao gồm
- Dầu làm sạch nutri: nectar 15ml - trị giá 250k
- Quà cho đơn hàng từ 700k: Túi tote Nhật Bản cá tính - trị giá 300k
- Quà cho mọi đơn hàng: 2 sachet dầu làm sạch & tẩy trang Shu Uemura

ƯU ĐÃI 2:
Khi mua bất kỳ son Shu Uemura trị giá 790k, 200 đơn hàng đầu tiên (0h - 1h ngày 4/7) sẽ được tặng 1 son fullsize & túi tote Nhật Bản cá tính - tổng giá trị 1.090k
 
Các đơn hàng sau đó sẽ nhận quà tổng giá trị: 850k bao gồm
- 2 Dầu làm sạch & tẩy trang CO ULTIME8+ 15ml và CO ANTI/OXI+ 15ml - trị giá 250k 
- Túi trang điểm thời trang Shu Uemura - trị giá 300k
- Quà cho đơn hàng từ 700k: Túi tote Nhật Bản cá tính - trị giá 300k
- Quà cho mọi đơn hàng: 2 sachet dầu làm sạch & tẩy trang Shu Uemura

----------------------------

∞ MAKEUP PART ∞
♥ 3CE - Pro Multi Eye Color Palette - Museday
https://en.stylenanda.com/product/3ce-pro-multi-eye-color-palette-museday/233876/?cate_no=1787&display_group=1&crema-widget-share-review-translation=on

♥ ROMAND - Better Than Shape - 02

♥ ETUDE HOUSE - DUAL WIDE EYES MASCARA - 04 Black X Brown 
https://www.etudehouse.com/int/en/index.php/dual-wide-eyes-mascara.html

♥ PEACH C - Peach Cotton Blusher - Lavender P Cheek
https://www.yesstyle.com/en/peach-c-peach-cotton-blusher-6-colors-lavender-p-cheek/info.html/pid.1071719932

♥ MAC - Mineralize Skinfinish - Soft & Gentle
https://shorten.asia/p9XgZvHw

♥ NARS - Blush - Sex Appeal
https://go.magik.ly/ml/tyo9/

♥ WET N WILD - MegaGlo Highlighting Powder - Precious Petals
https://go.magik.ly/ml/y9d0/

----------------------------

∞ MUSIC ∞
Gimme All You Got - Ella Faye
Not Used To This - Alder
Unpredictable - Sture Zetterberg",2020-07-03 13:30:02+00:00,8.35,400474,10803,466,11269,Friday,13,7,2020,Changmakeup
3,xUSpw-k-8VY,[SWATCH + REVIEW] MERZY AURORA DEWY TINT,"♥  Nhập mã ""MERZCHANG"" trong ví voucher tại Shopee để được giảm 30k từ 179k còn 149k/1 thỏi. Áp dụng từ ngày 12/06/2020 đến 12/07/2020
Link mua hàng: https://bit.ly/30mkwBY

♥  Thông tin Giveaway
Thể lệ: 
• Bạn đang sinh sống tại Việt Nam
• Like video & Comment màu bạn thích nhất của BST này.

Thời gian thông báo: 11h sáng 16/6, Chang sẽ thông báo tên 3 bạn ở pinned comment chính tại video này. 

∞ PRODUCTS MENTIONED ∞
MERZY AURORA DEWY TINT
♥ DT1 ROSE RAIN
♥ DT2 NOMADE CORAL
♥ DT3 AMBER WAVE
♥ DT4 MAPLE MOMENT
♥ DT5 VINTAGE SUNSET
♥ DT6 SEIREN RED
♥ DT7 MYSTIC MAUVE
♥ DT8 FANTASIA ROSESHINE
♥ DT9 FANTASIA SUNSHINE

∞ MAKEUP PART ∞
♥ ROMAND - Better Than Shape - 02

♥ ROMAND - The Universe Liquid Glitter - 02 Rose Star

♥ ROMAND - Better Than Eyes Milk Series - W01 Lavender
https://shorten.asia/42ed9eAk

♥ COLOURPOP - Lilac You A Lot Shadow Palette
https://go.magik.ly/ml/xrq0/

♥ ETUDE HOUSE - DUAL WIDE EYES MASCARA - 04 Black X Brown 
https://www.etudehouse.com/int/en/index.php/dual-wide-eyes-mascara.html

♥ PEACH C - Peach Cotton Blusher - Lavender P Cheek
https://www.yesstyle.com/en/peach-c-peach-cotton-blusher-6-colors-lavender-p-cheek/info.html/pid.1071719932

♥ CLIO - Waterproof Pen Liner Kill Black Original
https://shorten.asia/ze399dK5

♥ CLIO - Pro Blusher Palette
https://shorten.asia/hxVtHqXQ

∞ MUSIC ∞
Dreamkiddo. - telescope - https://thmatc.co/?l=2A5561B2
Fiji Blue - Space Makes Me Sad - https://thmatc.co/?l=8F1A1216
Sionya - Get You Off
Milva - Need You Back


#Merzy #MerzyDewyTint #BeSparklyYou",2020-06-12 12:30:10+00:00,9.48,998020,29476,6184,35660,Friday,12,6,2020,Changmakeup
4,ulHuu09knr4,[SWATCH + REVIEW] BLACK ROUGE AIRFIT VELVET TINT VER 6 - BLUEMING GARDEN,"∞ PRODUCTS MENTIONED ∞
BLACK ROUGE AIRFIT VELVET TINT VER. 6 BLUEMING GARDEN
♥ A28 - Mango Tulip Garden 
https://lzd.co/2AOKAvb
 ♥ A29 - Pink Hibiscus Garden
https://lzd.co/3eoBd3A
 ♥ A30 - Red Camellia Garden
https://lzd.co/2Cl85vZ
 ♥ A31 - Dry Daisy Garden
https://lzd.co/2NjtA2w
♥ A32 - Warm Dahlia Garden
https://lzd.co/2BsQXUG


***Nhập mã ""BRCHANG"" ở bước thanh toán cuối cùng để được giảm giá 10% nhé! ^^
Link mua hàng: 
♥ Website: fi:store: https://fistore.vn/
♥ Fanpage: https://www.facebook.com/BlackRougeVietnam/?epa=SEARCH_BOX 


∞ MAKEUP PART ∞
♥ ETUDE HOUSE - Play Color Eyes - Rose Wine
https://www.etude.com/int/en/index.php/20200429_rose_wine_launching_event

 ♥ COLOURPOP - Mar Shadow Palette
https://go.magik.ly/ml/xid9/ 

 ♥ ROMAND - Better Than Shape - 02
https://www.romand.vn/better-than-shape

♥ SHISEIDO - Synchoro Skin Self-Refreshing Foundation - 210 Birch
https://shorten.asia/NdAMGWj2

 ♥ TARTE - Shape Tape Contour Concealer - Light Neutral 
https://go.magik.ly/ml/ 

♥ PEACH C - Peach Cotton Blusher - Coral P Cheek
https://www.yesstyle.com/en/peach-c-peach-cotton-blusher-6-colors-lavender-p-cheek/info.html/pid.1071719932

♥ ETUDE HOUSE - Dual Wide Eyes Mascara - 04 Black X Brown 
https://www.etudehouse.com/int/en/index.php/dual-wide-eyes-mascara.html

♥ MAC - Mineralize Skinfinish - Soft & Gentle
https://shorten.asia/zbkuEC9d

 ♥ ANESSA - Perfect UV Sunscreen Skincare Milk SPF 50+
https://shorten.asia/CEFp5ThM

♥ OFÉLIA - Modern Gel Eyeliner - Jet Black
https://shop.ofelia.vn/collections/modern-eyeliner/products/jet-black

∞ MUSIC ∞
Mark Generous - Meganne - https://thmatc.co/?l=4AF5E5AC
Fiji Blue - Butterflies - https://thmatc.co/?l=461555F9",2020-06-02 14:30:05+00:00,7.08,1137600,34302,898,35200,Tuesday,14,6,2020,Changmakeup
5,5zi_WT2Xs9M,[SWATCH + REVIEW] ROMAND MILK TEA VELVET TINT,"∞ PRODUCT USED ∞
Romand Milk Tea Velvet Tint
https://bit.ly/2zxb1o1
(sử dụng code trasua40 để giảm thêm 40K nhé) 

MAKEUP PART:
♥ GOODAL - Houttuynia Cordata Calming Moisture Cream
https://shorten.asia/5d7WsyNY

♥ MISSHA - Cover & Glow Cushion Sand - 23
https://shorten.asia/3ut5nb5E

♥ COLOURPOP - Uh-Huh Honey Pressed Powder Palette
https://go.magik.ly/ml/wa74/

♥ COLOURPOP - Orange You Glad? Pressed Powder Palette
 
♥ PEACH C - Peach Cotton Blusher - Apricot P Cheek
https://www.yesstyle.com/en/peach-c-peach-cotton-blusher-6-colors-lavender-p-cheek/info.html/pid.1071719932

♥ I’M MEME - Afternoon Tea Blusher Palette - 01
https://beautyboxkorea.com/product/im-meme-afternoon-tea-blusher-palette-114g/33811/

♥ ROMAND - Better Than Cheek - W03 Apricot Milk
https://shorten.asia/FZnKSh9X

♥ ROMAND - Better Than Shape - 02

♥ ROMAND - The Universe Liquid Glitter - 02 Rose Star

♥ MERZY - Another Me The First Creamy Concealer - 23
https://shorten.asia/Ke57yXzT

♥ CLIO - Kill Lash Superproof Mascara Long Curling - 01
https://shorten.asia/VvAvgc4M

♥ KAJA - Mochi Glow Bouncy Highlighter - 03 Luna
https://go.magik.ly/ml/wa71/

♥ OFÉLIA - Liquid Eyeliner - Mocha
https://ofelia.vn/products/liquid-eyeliner-1?variant=1044874933

♥ I’M MEME - Eyebrow Pencil Micro Thin - 003 Dark Brown
https://www.yesstyle.com/en/memebox-im-meme-im-brow-pencil-micro-thin-3colors-003-dark-brown/info.html/pid.1075891512


∞ MUSIC ∞
Reggie San Miguel - Twilight - https://thmatc.co/?l=D8718B7D",2020-04-26 13:31:14+00:00,6.42,1036183,25326,605,25931,Sunday,13,4,2020,Changmakeup
6,2U1fVYIy_EQ,[SWATCH + REVIEW] MAC POWDER KISS LIQUID LIPCOLOUR,"Product Mentioned: 
M.A.C Powder Kiss Liquid Lipstick: https://lzd.co/2Vnghlo 

Voucher giảm 50k cho đơn hàng từ 599k tại app Lazada: https://lzd.co/34vzWDP 
(Bạn copy mã code trên thanh tìm kiếm và sử dụng khi check out đơn hàng nhé)


♥ Billion $ Smile
https://lzd.co/2K2yRtP
♥ Make It Fashun!
https://lzd.co/34wU2gV
♥ M·A·CSmash
https://lzd.co/2K1CvnK
♥ A Little Tamed
https://lzd.co/3ek6MvN
♥ Mull It Over
https://lzd.co/3chPw8z
♥ Devoted To Chili
https://lzd.co/2VnlGJh
♥ Resort Season
https://lzd.co/3egKpHA
♥ Sorry Not Sorry
https://lzd.co/2RsrPmf
♥ Burning Love
https://lzd.co/3eiSFHl
♥ More The Mehr-ier
https://lzd.co/2y5x30l
♥ Make Love To The Camera
https://lzd.co/2XxEFU2
♥ Date-Maker
https://lzd.co/3b9eKpG
♥ Over The Taupe
https://lzd.co/2Xvy78h
♥ Got A Callback
https://lzd.co/34uN9N2

#MACxLAZADA #POWDERKISSLIQUIDLIP

♥ Earrings & Necklace: @desol.sg
♥ Black Top: @dmd.studios
♥ White Top: @charme.official_
--------------------

∞ CONNECT WITH ME ∞

Business inquiries: meet@changmakeup.com
Instagram: http://instagram.com/changmakeup
FB: http://www.facebook.com/changmakeup

--------------------

∞ MUSIC ∞
EpidemicSound
The Memory Of You - Swif7
Pollensa - Harvio
Lazy Breeze - Ealot
--------------------",2020-04-18 13:30:00+00:00,8.98,1329869,19290,532,19822,Saturday,13,4,2020,Changmakeup
7,rZwqkjlt-L8,TÌNH HÌNH NIỀNG RĂNG/ Q&A VỀ INVISALIGN,"Trong video này, mình sẽ cùng update với mọi người về chặng đường đeo khay Invisalign vài tháng vừa rồi, đồng thời mình cũng trả lời những câu hỏi mà các bạn quan tâm về liệu trình này! 

Một số thông tin mình nhắc tới trong video:
- Nha khoa mình thực hiện: Westcoast International Dental Clinic 
https://www.facebook.com/westcoastinternational
- Tăm nước: H2O Floss 
https://shopee.vn/Tăm-nước-du-lịch-cầm-tay-cao-cấp-H2OFLOSS-HF6-tặng-túi-đựng-và-thêm-đầu-xịt-đạt-tiêu-chuẩn-xuất-Châu-Âu-i.88342813.2912203235
- Chỉ nha khoa",2020-04-11 13:15:00+00:00,12.4,212793,5620,274,5894,Saturday,13,4,2020,Changmakeup
8,W-SGXWT2lPo,[SWATCH + REVIEW] A.BLACK ARTISTIC VELVET TINT,"∞ PRODUCT USED ∞

A.Black Artistic Velvet Tint 
01 - Lux Red 
02 - Hex Red 
03 - Vampire
04 - Burning Rose
05 - Mad Plum 
06 - Coral Brick 
07 - Deep Chili 
08 - Maple Brick 
09 - Red Chili
10 - Mood Nude 
11 - Woody
12 - Sahara

Facebook: https://www.facebook.com/ablack.cosmetic/
Website : https://clubclio.shop/


♥ Top: 
Devons Studio: https://devons.vn/products/tweed-mini-set
SheByShj

--------------------

∞ CONNECT WITH ME ∞

Business inquiries: meet@changmakeup.com
Instagram: http://instagram.com/changmakeup
FB: http://www.facebook.com/changmakeup

--------------------

∞ MUSIC ∞
EpidemicSound

--------------------


#Ablack #AlldayPerfectCoverCushion #ArtisticVelvetTint",2020-03-23 13:30:02+00:00,9.77,367853,14012,449,14461,Monday,13,3,2020,Changmakeup
9,ctHcKo1C5Hw,[SWATCH + REVIEW] BBIA LAST VELVET LIP TINT ASIA EDITION,"∞ PRODUCT USED ∞
BBIA LAST VELVET LIP TINT ASIA EDITION 

♥ A1 SINGAPORE ORANGE
♥ A2 KOTA KINABALU CORAL
♥ A3 CHIANGMAI CHILI
♥ A4 KAOHSIUNG RED
♥ A5 HOI AN BRICK
https://shorten.asia/h6GyMHfr
https://www.sky007.vn/en/product/bbia-last-velvet-lip-tint-asia-edition-a1-sentosa-orange/

MAKEUP PART:
♥ SHISEIDO - Synchoro Skin Tone Up Primer Compact 
https://shorten.asia/fnk3Stvf 

♥ SHISEIDO - Synchoro Skin Self-Refreshing Foundation - 210 Birch
https://shorten.asia/JaEqPuSP

♥ TARTE - Shape Tape Contour Concealer - Light Neutral 
https://go.magik.ly/ml/

♥ I’M MEME - I’m Micro Thin - 03 Dark Brown
https://www.yesstyle.com/en/memebox-im-meme-im-brow-pencil-micro-thin-3colors-003-dark-brown/info.html/pid.1075891512

♥ PERIPERA - Ink V-Shading - 02 Cacao Brown
https://www.yesstyle.com/en/peripera-ink-v-shading-3-colors-03-hazel-grey/info.html/pid.1087366223

♥ COLOURPOP - Baby Got Peach Eyeshadow Palette
https://go.magik.ly/ml/uxad/

♥ ETUDE HOUSE - Dual Wide Eyes Mascara - 04 Black X Brown 
https://www.etudehouse.com/int/en/index.php/dual-wide-eyes-mascara.html

♥ MAC - Mineralize Skinfinish - Soft & Gentle
https://shorten.asia/zbkuEC9d

♥ NARS - Blush - Sex Appeal
https://go.magik.ly/ml/tyo9/

♥ PEACH C - Peach Cotton Blusher - Apricot P Cheek
https://www.yesstyle.com/en/peach-c-peach-cotton-blusher-6-colors-lavender-p-cheek/info.html/pid.1071719932

♥ I’M MEME - Afternoon Tea Blusher Palette - 01
https://beautyboxkorea.com/product/im-meme-afternoon-tea-blusher-palette-114g/33811/

♥ Top: SheByShj

[GIVEAWAY SET QUÀ]

10h sáng ngày 17/3/2020, mình sẽ thông báo tên bạn may mắn tại đây và cả ở pinned comment nhé! 

--------------------

∞ CONNECT WITH ME ∞

Business inquiries: meet@changmakeup.com
Instagram: http://instagram.com/changmakeup
FB: http://www.facebook.com/changmakeup

--------------------

∞ MUSIC ∞
EpidemicSound",2020-03-15 13:30:01+00:00,6.07,666412,18818,7158,25976,Sunday,13,3,2020,Changmakeup
